,0,1
0,,56
1,Bangalore ಕನ್ನಡಿಗ,1
2,Mysore,1
3,San Francisco,1
4,Kalyan Dombivali,1
5,Chennai,1
6,भारत,3
7,Delhi,3
8,raipur,1
9,Srinagar,1
10,Heaven on Earth-Kashmir,1
11,Dubai,4
12,delhi,3
13,Nagpur,1
14,Darbhanga,2
15,Sangli,1
16,पुणे,1
17,Bangalore,6
18,Karnataka,1
19,জয় আই অসম।          New Delhi,1
20,India,18
21,surat,1
22,Richmond VA,1
23,Ranchi,1
24,Punjab,1
25,नोएडा,1
26,Jamnagar,1
27,Kolkata,3
28,Gurgaon. India,1
29,15 लाख का इंतजार in ग्वालियर,1
30,Jamia Nagar,1
31,goa,1
32,Downtown,1
33,bareilly,3
34,Tamil Nadu,1
35,Guru Tej Bahadur Nagar,1
36,Lutyens' Delhi,1
37,Lucknow,5
38,जम्मू और कश्मीर,1
39,Maharashtra,1
40,Chicago/Kolkata/Pune,1
41,Hyderabad,1
42,Boston,1
43,Hanumangarh,1
44,✡ Mumbai Meri Jaan ✡,1
45,Depression,1
46,Varanasi,1
47,Somewhere,1
48,Rajendra Nagar,1
49,Vadodara,1
50,Bengaluru,7
51,Leek,1
52,Assam,1
53,Allahabad,6
54,Rajasthan,1
55,Jammu And Kashmir,1
56,New Delhi,6
57,Ankleshwar,1
58,india,1
59,Mainpuri,1
60,India.,1
61,Switzerland,1
62,Moradabad - Gurgaon,1
63,thane.gb road,2
64,Bengaluru South,1
65,Bangalore / கும்பகோணம்,1
66,Devbhoomi Uttarakhand,1
67,Dehradun,1
68,New York,1
69,Guwahati,1
70,मोदी जी के भारत मै..,1
71,Sheopur madhay predesh. india,1
72,USA,1
73,Mumbai,10
74,Kundapura,1
75,Pune,1
76,Indira Puram,1
77,KOLKATA,1
78,127.0.0.1,1
79,Chandigarh,1
80,Kurwai 🛩️Bhopal 🛩️ New Delhi,1
81,Madhya Pradesh,1
82,Ahmadabad City,1
83,kolkata,2
84,Uttar Pradesh,1
85,मुंबई,1
86,Himachal Pradesh,1
87,Sitamarhi,1
88,சென்னை,1
89,Indore,1
90,Nachna/india,1
91,Doha,1
92,Leicester,1
93,Mehsana,1
94,Patan,1
95,Islamabad Kashmir,1
96,Jammu,1
