,0,1
0,,19
1,Pondicherry,1
2,Tiruppur,1
3,EUROPA,2
4,बिहार,1
5,Hawiyah saudi arabia,1
6,Chhattisgarh,1
7,Raipur,1
8,Indian,1
9,Bengaluru,4
10,Jaipur,1
11,Kolkata,1
12,GUNTUR,1
13,Bharat,2
14,Rudrapur...INDIA🇮🇳 📴Line,1
15,Chennai,1
16,Delhi,1
17,Ahmadabad City,1
18,Allahabad,1
19,Dewas,1
20,bharat,1
21,Guru Tej Bahadur Nagar,2
22,Uttar Pradesh,1
23,Pune,1
24,Lucknow,3
25,New Delhi,4
26,Margao goa,1
27,delhi,1
28,Switzerland,1
29,Hyderabad,3
30,Bangalore,1
31,Pauri Garhwal,1
32,Bengaluru South,1
33,Doha,1
34,Leicester,1
35,आसाम,1
36,India,8
37,Bhojpur,1
38,Hindustan,1
39,Odisha,2
40,Mumbai,2
41,Aizawl,1
